SL,Date,Chainage,UTM_X,UTM_Y,BTM_X,BTM_Y,Distance,RL_mPWD,Remarks
7725,04/03/2018,5980,296919.96,2705434.71,601298.208,704033.066,78.444252,-1.7,CL
7789,05/03/2018,6030,296908.99,2705480.37,601286.24,704077.8,69.998284,-1.92,CL
7844,05/03/2018,6080,296899.43,2705531.16,601275.141,704128.551,67.483698,-1.78,CL
7903,05/03/2018,6130,296881.6,2705577.97,601257.134,704175.154,62.978079,-3.11,CL
7962,05/03/2018,6180,296882.58,2705628.26,601257.049,704225.144,70.459484,-2.63,CL
8021,05/03/2018,6230,296870.46,2705680.94,601242.909,704277.829,61.041688,-3.78,CL
8088,05/03/2018,6280,296868.28,2705726.76,601239.914,704323.757,65.492683,-3.49,CL
8157,05/03/2018,6330,296845.25,2705775.82,601215.866,704372.228,70.215664,-2.47,CL
8214,05/03/2018,6380,296843.83,2705829.57,601213.697,704426.172,70.360536,-3.07,CL
8258,05/03/2018,6430,296849.66,2705881.37,601218.588,704477.27,75.920435,-3.07,CL
8308,05/03/2018,6480,296867.57,2705929.7,601235.515,704526.63,61.05305,-2.44,CL
8356,05/03/2018,6530,296881.59,2705978.45,601248.466,704574.903,60.665517,-2.03,CL
8412,05/03/2018,6580,296899.42,2706023.66,601264.458,704621.243,60.764965,-1.61,CL
8477,05/03/2018,6630,296916.9,2706071.08,601281.429,704668.603,69.585461,-1.64,CL
8543,05/03/2018,6680,296942.65,2706112.57,601306.502,704711.14,69.556747,-1.46,CL
8608,05/03/2018,6730,296967.42,2706155.47,601329.577,704753.634,69.998237,-1.61,CL
8670,05/03/2018,6780,296990.95,2706201.32,601352.565,704800.125,75.93981,-2.11,CL
8724,05/03/2018,6830,297021.78,2706241.59,601382.657,704841.772,74.644197,-2.24,CL
8790,05/03/2018,6880,297049.15,2706278.21,601408.86,704878.334,74.66492,-2.36,CL
8856,05/03/2018,6930,297083.17,2706317.03,601441.993,704918.047,75.174396,-2.45,CL
8901,05/03/2018,6980,297114.93,2706354.67,601473.15,704956.717,75.664205,-2.5,CL
8951,05/03/2018,7030,297152.94,2706390.58,601510.346,704993.518,71.880012,-1.65,CL
8993,05/03/2018,7080,297184.5,2706432.33,601541.437,705035.186,70.468978,-2.38,CL
9041,05/03/2018,7130,297225.06,2706467.67,601580.632,705072.03,74.089193,-1.68,CL
9103,05/03/2018,7180,297261.46,2706492.45,601616.089,705096.795,73.644782,-0.73,CL
9171,05/03/2018,7230,297295.68,2706515.13,601650.569,705120.54,70.061739,-0.45,CL
