Sl. No.,"Name of 
Haor",Name of WMG & #,Name of XO,Demo#,N,D,M,S,Lat,E,D,M,S,Lon,Demo Area (Dec.),Date of Seedling,Transplanting,Harvesting,Seedling Age,Growth Duration (days),Total Cost(tk),Cultivation cost (tk/Ha),Production (kg/plot),Selling Price(tk),Yield (Kg/Ha),Total Sell Value(tk),Comparative Production(kg),Comparative Yield (Kg/Ha),Rice sold (tk/Ha),Net benefit (tk/Ha)
515,Chatal,"ProschimJaoyat 
 Shonhati #208",Nazmul,23.18,"24ø32'30.4""",24,32,30.4,24.54177778,"91ø24'54.2""",91,27,54.2,91.46394444,35,43441,43480,43580,39,139,8455,59692.3,910,14.25,6424.6,12967.5,840,5930.4,91550.55,31858.25
516,Chatal,"ProschimJaoyat 
 Shonhati #208",Nazmul,23.19,"24ø37'31.7""",24,37,31.7,24.62547222,"91ø24'50.2""",91,27,50.2,91.46491667,35,43430,43470,43572,40,142,7905,55809.3,980,14.5,6918.8,14210,1540,10872.4,100322.6,44513.3
517,Chatal,"ProschimJaoyat 
 Shonhati #208",Nazmul,22.23,"24ø32'29.9""",24,32,29.9,24.54163889,"91ø24'53.7""",91,27,53.7,91.45297222,35,43432,43474,43663,42,231,8235,58139.1,910,14,6424.6,12740,630,4447.8,89944.4,31805.3
518,Chatal,"ProschimJaoyat 
 Shonhati #208",Nazmul,23.23,"24ø32'56.2""",24,31,56.2,24.53227778,"91ø25'10.7""",91,25,10.7,91.41975,35,43439,43478,43579,39,140,8435,59551.1,910,14.5,6424.6,13195,840,5930.4,93156.7,33605.6
519,Chatal,"ProschimJaoyat 
 Shonhati #208",Nazmul,23.24,"24ø31'57.9""",24,32,57.9,24.54941667,"91ø25'11.1""",91,25,11.1,91.41838889,35,43439,43479,43580,40,141,8970,63328.2,980,14.5,6918.8,14210,840,5930.4,100322.6,36994.4
520,Chatal,"ProschimJaoyat 
 Shonhati #208",Nazmul,23.25,"24ø32'34.5""",24,32,34.5,24.54291667,"91ø25'6.2""",91,25,6.2,91.41866667,35,43433,43471,43561,38,128,8360,59021.6,840,14.25,5930.4,11970,700,4942,84508.2,25486.6
521,Chatal,Raji Kanla#212,Nazmul,24.1,"24ø32'37.3""",24,32,37.3,24.54369444,"91ø25'7.2""",91,25,7.2,91.43069444,35,43434,43471,43577,37,143,8365,59056.9,980,14.5,6918.8,14210,700,4942,100322.6,41265.7
522,Chatal,Raji Kanla#212,Nazmul,24.2,"24ø32'29.7""",24,32,29.7,24.54158333,"91ø24'50.5""",91,24,50.5,91.41505556,35,43434,43472,43578,38,144,8260,58315.6,840,14.5,5930.4,11550,630,4447.8,85990.8,27675.2
523,Chatal,Raji Kanla#212,Nazmul,24.3,"24ø32'30.5""",24,32,30.5,24.54180556,"91ø24'54.2""",91,24,54.2,91.40930556,35,43437,43473,43576,36,139,8580,60574.8,840,14.5,5930.4,12057,770,5436.2,85990.8,25416
524,Chatal,Raji Kanla#212,Nazmul,24.4,"24ø31'45.5""",24,31,45.5,24.52930556,"91ø24'33.5""",91,24,33.5,91.40205556,35,43437,43472,43580,35,143,8375,59127.5,980,14.5,6918.8,14210,840,5930.4,100322.6,41195.1
