sl,Training Detail,InvoiceNo,Batch Date,GOB,RPA,Catagory
110,"Swing Mechin, Batch-3",LIVEHOOD-110,2017-04-12," 27,263.00 "," 191,405.00 ",SIGS
111,Kirshoreganj Farmers 106-107,LIVEHOOD-111,2017-04-13," 25,540.00 "," 198,579.00 ",APSS
112,T-Aman +Fertilizer,LIVEHOOD-112,2017-04-16," 38,987.00 "," 199,929.00 ",APSS
113,"Supply of Goat, Batch-13",LIVEHOOD-113,2017-04-17," 19,200.00 "," 200,000.00 ",SIGS
114,Kirshoreganj Farmers 108-109,LIVEHOOD-114,2017-04-18," 25,540.00 "," 198,580.00 ",APSS
115,WMG Members Training,LIVEHOOD-115,2017-04-19," 22,219.00 "," 197,720.00 ",SIGS
116,Farmers Training 110-111,LIVEHOOD-116,2017-04-20," 25,540.00 "," 199,280.00 ",APSS
117,T-Aman +Fertilizer,LIVEHOOD-117,2017-04-23," 38,991.00 "," 199,955.00 ",APSS
118,T-Aman +Fertilizer,LIVEHOOD-118,2017-04-24," 38,991.00 "," 199,955.00 ",APSS
119,Farmers Training 113-114,LIVEHOOD-119,2017-04-25," 25,540.00 "," 199,280.00 ",APSS
120,WMG Members Training 17-18,LIVEHOOD-120,2017-04-26," 25,109.00 "," 197,040.00 ",LT
121,Farmers Training 115-116,LIVEHOOD-121,2017-04-27," 25,540.00 "," 199,280.00 ",APSS
122,"Swing Mechin, Batch-4",LIVEHOOD-122,2017-04-30," 32,502.00 "," 200,000.00 ",SIGS
123,"Swing Mechin, Batch-5, TOT(IFM+FFS)",LIVEHOOD-123,2017-05-02," 30,298.00 "," 193,549.00 ",APSS
124,WMG Training (Batch 121),LIVEHOOD-124,2017-04-05," 12,555.00 "," 98,519.00 ",LT
125,Farmers Training (Batch 119-120),LIVEHOOD-125,2017-04-05," 25,540.00 "," 199,280.00 ",APSS
126,TOT for IFM(FFS)-1st Bill,LIVEHOOD-126,2017-05-07," 23,240.00 "," 186,459.00 ",APSS
127,Farmers Training (Batch 123-124),LIVEHOOD-127,2017-05-09," 25,540.00 "," 199,279.00 ",APSS
128,TOT for IFM(FFS) -2nd Bill,LIVEHOOD-128,2017-05-09," 24,834.00 "," 194,740.00 ",APSS
129,Farmers Training (Batch 125-126),LIVEHOOD-129,2017-11-05," 25,540.00 "," 199,280.00 ",APSS
130,WMG Training (Batch 127-128),LIVEHOOD-130,2017-11-05," 25,109.00 "," 197,040.00 ",LT
131,TOT for IFM(FFS) -3rd Bill,LIVEHOOD-131,14-5-17," 21,164.00 "," 198,689.00 ",APSS
132,TOT for IFM(FFS) -4th Bill,LIVEHOOD-132,14-5-17," 25,692.00 "," 199,709.00 ",APSS
133,Farmers Training (Batch 129-130),LIVEHOOD-133,16-5-17," 25,540.00 "," 199,280.00 ",APSS
134,TOT for IFM(FFS) -5th Bill,LIVEHOOD-134,17-5-17," 20,962.00 "," 197,839.00 ",APSS
135,Farmers Training (Batch 131-132),LIVEHOOD-135,18-05-17," 25,540.00 "," 199,280.00 ",APSS
136,TOT for IFM(FFS) -6th Bill,LIVEHOOD-136,21-05-17," 21,219.00 "," 198,690.00 ",APSS
137,TOT for IFM(FFS) -7th Bill,LIVEHOOD-137,23-05-17," 20,246.00 "," 193,689.00 ",APSS
138,Farmers Training (Batch 133-134),LIVEHOOD-138,23-05-17," 25,540.00 "," 199,279.00 ",APSS
139,TOT for IFM(FFS) -8th Bill,LIVEHOOD-139,25-05-17," 23,563.00 "," 195,060.00 ",APSS
140,Farmers Training (Batch 135-136),LIVEHOOD-140,25-05-17," 25,540.00 "," 199,280.00 ",APSS
141,"Swing Mechin, Batch-6,",LIVEHOOD-141,28-05-17," 32,502.00 "," 200,000.00 ",SIGS
142,"Swing Machine , BORO Seed",LIVEHOOD-142,29-05-17," 31,281.00 "," 198,589.00 ",SIGS
143,Farmers Batch 137-138,LIVEHOOD-143,30-05-17," 25,500.00 "," 198,920.00 ",APSS
144,Farmers Training 139-140,LIVEHOOD-144,01-06-17," 25,500.00 "," 198,920.00 ",APSS
145,WMG + BORO Seed- 141,LIVEHOOD-145,01-06-17," 31,945.00 "," 197,960.00 ",LT
146,Farmers Training 142-143,LIVEHOOD-146,06-06-17," 25,500.00 "," 198,920.00 ",APSS
147,Farmers Training 144-145,LIVEHOOD-147,08-06-17," 25,500.00 "," 198,920.00 ",APSS
148,WMG Training 146-147,LIVEHOOD-148,08-06-17," 25,109.00 "," 197,040.00 ",LT
149,Farmers Training 148-149,LIVEHOOD-149,13-06-17," 25,500.00 "," 198,920.00 ",APSS
150,Farmers Training 150-151,LIVEHOOD-150,15-06-17," 25,500.00 "," 198,920.00 ",APSS
