sl,Training Detail,InvoiceNo,Batch Date,GOB,RPA,Catagory
91,"Boro Ferilizer ,Batch- 06",LIVELIHOOD-91,12/26/2017,19175,199729,APSS
92,Farmers Training Programe specially for agricultural promotion (55-56),LIVELIHOOD-92,12/27/2017,23095,198260,APSS
93,Duck Rearing (Batch-07),LIVELIHOOD-93,12/27/2017,16935,199000,SIGS
94,Farmers Training Programe specially for agricultural promotion (57-58),LIVELIHOOD-94,12/31/2017,23095,198960,APSS
95,"Boro Rearing Ferilizer ,Batch- 07",LIVELIHOOD-95,1/1/2018,19175,199729,APSS
96,"Boro Ferilizer ,Batch- 08",LIVELIHOOD-96,1/1/2018,19175,199729,APSS
97,Farmers Training Programe specially for agricultural promotion (59-60),LIVELIHOOD-97,1/2/2018,23519,198960,APSS
98,"Boro Ferilizer ,Batch- 09",LIVELIHOOD-98,1/2/2018,19175,199729,APSS
99,Goat Rearing (Batch-7),LIVELIHOOD-99,1/3/2018,19200,200000,SIGS
100,Farmers Training Programe specially for agricultural promotion (61-62),LIVELIHOOD-100,1/4/2018,23519,198960,APSS
101,"Farmer Field School(FFS) establishment, Batch-10",LIVELIHOOD-101,1/4/2018,13330,196749,APSS
102,"Farmer Field School(FFS) establishment, Batch-11",LIVELIHOOD-102,1/4/2018,14102,196500,APSS
103,"Farmer Field School(FFS) establishment, Batch-12",LIVELIHOOD-103,1/7/2018,13682,192720,APSS
104,"Farmer Field School(FFS) establishment, Batch-13",LIVELIHOOD-104,1/7/2018,13982,195420,APSS
105,"Boro seed, Batch-10(Sign Board)",LIVELIHOOD-105,1/8/2018,19084,198250,APSS
106,Farmers Training Programe specially for agricultural promotion (63-64),LIVELIHOOD-106,1/9/2018,26039,199320,APSS
106,"Farmer Field School(FFS) establishment, Batch-14",LIVELIHOOD-106,1/10/2018,11690,198097,APSS
107,Farmers Training Programe specially for agricultural promotion (65-66),LIVELIHOOD-107,1/11/2018,26039,199320,APSS
108,WMG member training for strenthening of WMG (9-10),LIVELIHOOD-108,1/11/2017,25422,195440,LT
109,Boro Ferilizer,LIVELIHOOD-109,1/15/2018,16256,199599,APSS
110,Farmers Training Programe specially for agricultural promotion (67-68),LIVELIHOOD-110,1/16/2018,26039,199320,APSS
111,"Swing Machine, Training & Support service scheme ,Batch-5,Part-A",LIVELIHOOD-111,1/16/2018,24033,198230,SIGS
112,"Farmer Field School(FFS) establishment, Batch-15",LIVELIHOOD-112,1/17/2018,15044,195529,APSS
113,"Farmer Field School(FFS) establishment, Batch-16",LIVELIHOOD-113,1/17/2018,12978,198369,APSS
114,"Swing Machine, Training & Support service scheme ,Batch-5,Part-B",LIVELIHOOD-114,1/18/2018,17991,195940,SIGS
115,Farmers Training Programe specially for agricultural promotion (69-70),LIVELIHOOD-115,1/18/2018,26039,199320,APSS
116,Goat Rearing (Batch-8),LIVELIHOOD-116,1/18/2018,19200,200000,SIGS
117,"Swing Machine, Training & Support service scheme ,Batch-5,Part-C",LIVELIHOOD-117,1/21/2018,11208,185210,SIGS
118,WMG member training for strenthening of WMG (11-12),LIVELIHOOD-118,1/21/2018,21743,196840,LT
119,Goat Rearing (Batch-9),LIVELIHOOD-119,1/22/2018,19200,200000,SIGS
120,Farmers Training Programe specially for agricultural promotion (71-72),LIVELIHOOD-120,1/23/2018,26106,199966,APSS
121,Fruits seeding/sapling(Batch-4),LIVELIHOOD-121,1/23/2018,11400,199000,SIGS
122,Goat Rearing (Batch-10),LIVELIHOOD-122,1/24/2018,19200,200000,SIGS
123,Farmers Training Programe specially for agricultural promotion (73-74),LIVELIHOOD-123,1/25/2018,26106,199966,APSS
124,Goat rearing (Batch-11),LIVELIHOOD-124,1/25/2018,19200,200000,SIGS
125,WMG member training for strenthening of WMG (Batch 13-14),LIVELIHOOD-125,1/25/2018,22175,196840,LT
126,"Farmer Field School(FFS) establishment,-17",LIVELIHOOD-126,1/28/2018,14724,199949,APSS
127,"Farmer Field School(FFS) establishment,-18",LIVELIHOOD-127,1/28/2018,14702,199420,APSS
128,"Farmer Field School(FFS) establishment,-19",LIVELIHOOD-128,1/29/2018,13930,199669,APSS
129,Farmers Training Programe specially for agricultural promotion (75-76),LIVELIHOOD-129,1/30/2018,25999,198960,APSS
130,"Swing Machine, Training & Support service scheme, Batch-6, Part-A",LIVELIHOOD-130,1/31/2018,24033,198230,SIGS
131,"Swing Machine, Training & Support service scheme, Batch-6, Part-B",LIVELIHOOD-131,1/31/2018,17991,195940,SIGS
132,Farmers Training Programe specially for agricultural promotion (77-78),LIVELIHOOD-132,2/1/2018,22199,198960,APSS
133,WMG member training for strenthening of WMG-15-16,LIVELIHOOD-133,2/1/2018,22034,196708,LT
134,Goat rearing (Batch-12),LIVELIHOOD-134,2/1/2018,19200,200000,SIGS
135,"Farmer Field School(FFS) establishment,-20",LIVELIHOOD-135,2/4/2018,15242,199415,APSS
136,"Farmer Field School(FFS) establishment,-21",LIVELIHOOD-136,2/4/2018,16368,200000,APSS
137,"Swing Machine, Training & Support service scheme, Batch-6, Part-c",LIVELIHOOD-137,2/4/2018,9570,185209,SIGS
138,"Farmer Field School(FFS) establishment,-22",LIVELIHOOD-138,2/5/2018,16584,199960,APSS
139,Goat rearing (Batch-13),LIVELIHOOD-139,2/5/2018,19200,200000,SIGS
140,Farmers Training Programe specially for agricultural promotion (79-80),LIVELIHOOD-140,2/6/2018,22199,198960,APSS
141,Goat Rearing (Batch-14),LIVELIHOOD-141,2/7/2018,19200,200000,SIGS
142,WMG member training for strenthening of WMG (Batch 17-18),LIVELIHOOD-142,2/8/2018,21743,196840,LT
143,Farmers Training Programe specially for agricultural promotion (81-82),LIVELIHOOD-143,2/8/2018,22199,198960,APSS
144,"Farmer Field School(FFS) establishment,-23",LIVELIHOOD-144,2/12/2018,16368,200000,APSS
